188,224,46,100
224,100,46,100
224,214,46,100
46,151,224,100
176,46,224,100
224,46,117,100
92,224,46,100
224,176,46,100
247,204,7,100
244,246,250,100
19,57,122,100
105,129,103,100
252,219,152,100
146,84,73,100
114,42,54,100
83,46,10,100
48,119,149,100
60,236,110,100
192,97,57,100
46,213,194,100
94,192,54,100
38,109,8,100
214,150,210,100
133,102,63,100
161,216,95,100
19,240,3,100
241,190,25,100
190,140,6,100
232,130,185,100
131,113,124,100
172,108,105,100
173,33,57,100
211,97,238,100
214,82,37,100
245,54,158,100
134,138,5,100
158,74,162,100
229,5,21,100
131,168,0,100
31,234,252,100
46,126,35,100
241,175,41,100
233,194,12,100
149,225,252,100
54,32,18,100
181,102,128,100
103,31,233,100
158,166,157,100
170,7,15,100
8,101,63,100
224,57,219,100
191,241,54,100
60,80,226,100
175,244,140,100
130,132,70,100
122,234,164,100
146,94,247,100
193,105,178,100
70,47,128,100
17,192,228,100
68,36,26,100
153,75,91,100
87,113,17,100
168,115,212,100
131,164,165,100
63,95,31,100
60,15,142,100
206,136,10,100
166,98,15,100
16,67,92,100
245,86,144,100
217,34,177,100
7,120,193,100
143,138,119,100
105,254,216,100
205,114,81,100
82,142,44,100
188,247,105,100
30,119,33,100
159,116,10,100
168,119,96,100
54,181,83,100
29,156,89,100
1,79,39,100
60,4,194,100
129,254,170,100
149,29,182,100
56,231,57,100
221,192,104,100
118,160,52,100
138,91,125,100
64,72,66,100
116,149,8,100
220,209,186,100
58,227,166,100
100,74,125,100
